Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
0.0	0.0	0.02777	1.014e-08	0.2162	-1894.064278	False
0.0	4.0	0.04478	0.05448	0.3069	-1895.070168	False
0.0	8.0	0.03921	0.01826	0.3566	-1891.030725	False
0.0	12.0	0.04812	0.1081	0.5905	-1886.962888	False
0.0	16.0	0.02958	0.05884	0.279	-1877.59786	False
0.0	20.0	0.05139	0.1001	0.4324	-1865.102144	False
0.0	24.0	0.05816	0.07431	0.1152	-1860.851874	False
0.0	28.0	0.08387	0.1076	0.1583	-1857.01799	False
0.0	32.0	0.08375	0.1654	0.3839	-1850.378045	False
0.0	36.0	0.067	0.1331	0.3065	-1847.649433	False
0.0	40.0	0.06244	0.1214	0.2893	-1840.756725	False
0.0	44.0	0.06133497067914991	0.11940991885356732	0.27196386814737955	-1837.8386104861243	True
0.0	48.0	0.06763866179444508	0.13138331779895152	0.29009170281823543	-1834.5279948288655	True
0.0	52.0	0.07241078259789989	0.14110686766872507	0.30721406408556773	-1830.3808194290468	True
0.0	56.0	0.0762943976285908	0.14909852383020245	0.32131334847554505	-1826.142857409436	True
0.0	60.0	0.0796689736509748	0.15653113894560575	0.33415218500736443	-1822.0301156954733	True
4.0	0.0	0.02793	7.899e-08	0.2073	-1894.582015	False
4.0	4.0	0.03651	0.03415	0.2312	-1895.270596	False
4.0	8.0	0.04017	0.0461	0.3784	-1891.482287	False
4.0	12.0	0.02991	0.04069	0.291	-1887.488685	False
4.0	16.0	0.07857	0.1852	0.6505	-1878.606284	False
4.0	20.0	0.02936	0.02703	0.3189	-1867.779937	False
4.0	24.0	0.03161	0.0545	0.116	-1864.340583	False
4.0	28.0	0.06959	0.08581	0.1209	-1863.693757	False
4.0	32.0	0.1234	0.1503	0.1971	-1861.628524	False
4.0	36.0	0.1016	0.1514	0.3684	-1857.559548	False
4.0	40.0	0.06931	0.1287	0.2733	-1853.969509	False
4.0	44.0	0.06001	0.1114	0.2361	-1848.352675	False
4.0	48.0	0.06847	0.1275	0.2676	-1842.840869	False
4.0	52.0	0.07164679058007835	0.13406842708338282	0.2820221993481574	-1837.3322400828113	True
4.0	56.0	0.07775282304196793	0.14596496897171418	0.304570552163669	-1832.5504013143463	True
4.0	60.0	0.0824702545082607	0.1560239947533272	0.32319972864996116	-1827.9567754287107	True
8.0	0.0	0.03005	1.38e-07	0.1842	-1896.099619	False
8.0	4.0	0.02941	0.01791	0.183	-1895.997023	False
8.0	8.0	0.04193	0.06822	0.4139	-1892.363566	False
8.0	12.0	0.03246	0.03453	0.2824	-1887.666573	False
8.0	16.0	0.03924	0.06553	0.336	-1879.386279	False
8.0	20.0	0.03422	0.03019	0.3115	-1869.810271	False
8.0	24.0	0.02387	0.03985	0.08547	-1866.988013	False
8.0	28.0	0.05645	0.06778	0.09501	-1865.634868	False
8.0	32.0	0.07858	0.09625	0.1309	-1865.112866	False
8.0	36.0	0.12	0.1441	0.1857	-1861.573377	False
8.0	40.0	0.09837	0.181	0.366	-1857.611849	False
8.0	44.0	0.06197	0.1129	0.2328	-1854.34055	False
8.0	48.0	0.06314	0.1159	0.2355	-1848.392265	False
8.0	52.0	0.06761	0.123	0.2516	-1843.306643	False
8.0	56.0	0.0814753602958768	0.14880088152471535	0.29968138208204137	-1838.6689560893037	True
8.0	60.0	0.0858010037743892	0.15787085348330887	0.31757960186988604	-1833.584959455511	True
12.0	0.0	0.03213	2.952e-07	0.1572	-1898.375962	False
12.0	4.0	0.04253	0.004008	0.2018	-1897.284382	False
12.0	8.0	0.03335	0.04207	0.3201	-1893.342342	False
12.0	12.0	0.04167	0.08202	0.3716	-1887.692355	False
12.0	16.0	0.03873	0.02533	0.2572	-1879.905584	False
12.0	20.0	0.05606	0.09391	0.3824	-1871.350969	False
12.0	24.0	0.02471	0.0408	0.08441	-1868.150496	False
12.0	28.0	0.03701420168376274	0.04573094929148131	0.05159820185854874	-1867.3517414312223	True
12.0	32.0	0.05602	0.06667	0.09093	-1867.324939	False
12.0	36.0	0.0896	0.1074	0.1398	-1865.99747	False
12.0	40.0	0.07635	0.09885	0.2584	-1861.592041	False
12.0	44.0	0.1	0.1791	0.3492	-1858.777344	False
12.0	48.0	0.05993	0.1059	0.2114	-1855.227806	False
12.0	52.0	0.07627	0.1379	0.2688	-1849.255891	False
12.0	56.0	0.08875	0.16	0.3116	-1844.429575	False
12.0	60.0	0.08643436255537887	0.15622597631151508	0.30712145012605063	-1838.478311580793	True
16.0	0.0	0.03497	5.092e-07	0.1236	-1901.063083	False
16.0	4.0	0.04498	0.002355	0.1532	-1899.083735	False
16.0	8.0	0.03461	0.04837	0.2655	-1894.345522	False
16.0	12.0	0.05326	0.1101	0.4507	-1887.838471	False
16.0	16.0	0.04483	0.04259	0.2947	-1880.396723	False
16.0	20.0	0.0399209810435488	0.0558307911274288	0.2148618083048412	-1870.9618171816837	True
16.0	24.0	0.0275	0.04543	0.0917	-1867.836539	False
16.0	28.0	0.044725474225135974	0.05533186722280926	0.07785480614573065	-1868.1182485436634	True
16.0	32.0	0.06483	0.07652	0.1013	-1868.4701	False
16.0	36.0	0.05807	0.06924	0.09301	-1868.308863	False
16.0	40.0	0.09072	0.09483	0.2622	-1865.383131	False
16.0	44.0	0.08778	0.1481	0.292	-1860.376562	False
16.0	48.0	0.07727	0.1371	0.2652	-1858.392488	False
16.0	52.0	0.07405	0.131	0.2508	-1854.282526	False
16.0	56.0	0.08184	0.1463	0.2814	-1848.640053	False
16.0	60.0	0.07883	0.1402	0.2709	-1842.880854	False
20.0	0.0	0.03164	3.447e-07	0.09894	-1904.454056	False
20.0	4.0	0.04285	0.02738	0.1549	-1901.263021	False
20.0	8.0	0.02878	0.02896	0.1545	-1895.672093	False
20.0	12.0	0.0557	0.1	0.4245	-1888.324509	False
20.0	16.0	0.03872	0.05531	0.283	-1881.179517	False
20.0	20.0	0.03563	0.05223	0.1189	-1867.924461	False
20.0	24.0	0.04201140548642311	0.056489862704237434	0.07914834249915194	-1866.1069710045094	True
20.0	28.0	0.05572	0.06657	0.1124	-1868.766157	False
20.0	32.0	0.03748	0.05861	0.1172	-1869.100305	False
20.0	36.0	0.06107	0.07053	0.0909	-1869.982372	False
20.0	40.0	0.06019	0.07096	0.0929	-1869.035026	False
20.0	44.0	0.09242	0.1296	0.2811	-1865.334334	False
20.0	48.0	0.09693	0.1693	0.3183	-1860.976435	False
20.0	52.0	0.06834	0.1187	0.2254	-1858.939508	False
20.0	56.0	0.06918	0.1196	0.2222	-1854.531194	False
20.0	60.0	0.07042	0.1226	0.2302	-1849.139584	False
24.0	0.0	0.029	3.318e-07	0.08544	-1907.795887	False
24.0	4.0	0.04206	0.02831	0.1322	-1904.066169	False
24.0	8.0	0.02486	0.01981	0.1307	-1897.269693	False
24.0	12.0	0.03987	0.05887	0.2741	-1889.155736	False
24.0	16.0	0.04305	0.06729	0.3186	-1882.200092	False
24.0	20.0	0.04493	0.06554	0.1566	-1868.551193	False
24.0	24.0	0.04385807219208511	0.05500717034729817	0.06792328035396351	-1866.0236672963465	True
24.0	28.0	0.04814	0.05582	0.07685	-1869.721562	False
24.0	32.0	0.05783	0.06819	0.09136	-1870.512021	False
24.0	36.0	0.05553	0.06424	0.08361	-1870.860439	False
24.0	40.0	0.05952	0.06784	0.08604	-1870.798287	False
24.0	44.0	0.0576	0.07028	0.1746	-1868.40694	False
24.0	48.0	0.08763	0.1415	0.269	-1863.059048	False
24.0	52.0	0.09279	0.1614	0.2989	-1861.220173	False
24.0	56.0	0.05966	0.102	0.1887	-1858.590086	False
24.0	60.0	0.05824	0.09916	0.1838	-1853.296254	False
28.0	0.0	0.02366	7.692e-09	0.08086	-1910.003304	False
28.0	4.0	0.04559	0.0231	0.1027	-1906.879653	False
28.0	8.0	0.02411	0.0288	0.1563	-1898.894101	False
28.0	12.0	0.03791	0.02947	0.2248	-1890.463332	False
28.0	16.0	0.04654	0.06896	0.3225	-1883.43636	False
28.0	20.0	0.03399	0.04225	0.113	-1870.529542	False
28.0	24.0	0.034941715089338674	0.03895700087714109	0.044121795039482485	-1866.4447667757222	True
28.0	28.0	0.03923	0.04362	0.06006	-1869.392663	False
28.0	32.0	0.0506	0.05803	0.07683	-1871.670411	False
28.0	36.0	0.05619	0.06441	0.08307	-1871.953659	False
28.0	40.0	0.06015	0.06789	0.0848	-1872.009347	False
28.0	44.0	0.06251	0.04429	0.1454	-1871.232092	False
28.0	48.0	0.06577	0.09397	0.1912	-1868.138278	False
28.0	52.0	0.0911	0.1562	0.2863	-1862.603415	False
28.0	56.0	0.07886	0.1349	0.2467	-1861.681242	False
28.0	60.0	0.06099	0.1028	0.1861	-1858.682031	False
32.0	0.0	0.02494	3.514e-07	0.07966	-1910.967595	False
32.0	4.0	0.04519	0.01423	0.08908	-1908.787687	False
32.0	8.0	0.0579	0.06014	0.246	-1900.903807	False
32.0	12.0	0.04263	0.01672	0.2252	-1892.227692	False
32.0	16.0	0.04045	0.03394	0.2196	-1884.874822	False
32.0	20.0	0.0281	0.02902	0.1343	-1872.199855	False
32.0	24.0	0.03208	0.03141	0.04359	-1866.609597	False
32.0	28.0	0.03593066500061828	0.036912037121564226	0.038685327862736624	-1868.6002634574759	True
32.0	32.0	0.04175	0.04637	0.06111	-1871.718152	False
32.0	36.0	0.05275	0.05972	0.07647	-1873.236001	False
32.0	40.0	0.05364	0.0601	0.07537	-1873.069951	False
32.0	44.0	0.06277	0.06954	0.08458	-1872.548336	False
32.0	48.0	0.04801	0.06153	0.1356	-1870.799036	False
32.0	52.0	0.07903	0.1224	0.2251	-1866.720474	False
32.0	56.0	0.09076	0.1555	0.2784	-1863.307452	False
32.0	60.0	0.0673	0.1133	0.2023	-1861.79693	False
36.0	0.0	0.06509	2.094e-08	0.08049	-1910.665758	False
36.0	4.0	0.05457	0.003973	0.07951	-1909.471646	False
36.0	8.0	0.07802	0.01512	0.1004	-1903.29202	False
36.0	12.0	0.03775	0.006485	0.1983	-1894.057001	False
36.0	16.0	0.03423	0.01877	0.1635	-1886.603865	False
36.0	20.0	0.02812	0.01843	0.1071	-1873.996468	False
36.0	24.0	0.029439499221706057	0.025172511997472214	0.06035900785554393	-1868.335931636447	True
36.0	28.0	0.03395	0.03384	0.0442	-1868.985088	False
36.0	32.0	0.03854525429393918	0.04057762794549556	0.04890642656689115	-1871.4177068902873	True
36.0	36.0	0.0438	0.04822	0.06137	-1873.638513	False
36.0	40.0	0.05435	0.06066	0.07548	-1874.576568	False
36.0	44.0	0.05198	0.05647	0.06878	-1873.937804	False
36.0	48.0	0.0548	0.06797	0.1485	-1872.421228	False
36.0	52.0	0.05121	0.07672	0.1456	-1869.75522	False
36.0	56.0	0.08913	0.1524	0.2716	-1864.296293	False
36.0	60.0	0.08192	0.1382	0.244	-1863.922607	False
40.0	0.0	0.07246	9.297e-07	0.08402	-1909.755922	False
40.0	4.0	0.09385	0.004236	0.07499	-1909.4393	False
40.0	8.0	0.09894	0.005032	0.07414	-1905.193073	False
40.0	12.0	0.04756	0.02713	0.2383	-1896.158677	False
40.0	16.0	0.03301	0.04005	0.1875	-1888.555086	False
40.0	20.0	0.03355	0.03489	0.1024	-1876.282873	False
40.0	24.0	0.02964	0.02941	0.09362	-1870.545986	False
40.0	28.0	0.02533	0.03375	0.1089	-1870.150233	False
40.0	32.0	0.03548	0.03575	0.04493	-1870.929523	False
40.0	36.0	0.04124	0.0452	0.05786	-1872.597786	False
40.0	40.0	0.04541	0.04942	0.06112	-1875.136047	False
40.0	44.0	0.05564	0.06109	0.07409	-1875.530421	False
40.0	48.0	0.0511	0.05384	0.06372	-1874.405066	False
40.0	52.0	0.05217	0.07102	0.139	-1872.554904	False
40.0	56.0	0.06019	0.09214	0.166	-1869.645805	False
40.0	60.0	0.09189	0.1546	0.2699	-1865.198558	False
44.0	0.0	0.06429	5.99e-07	0.09733	-1908.5433	False
44.0	4.0	0.05894	0.01788	0.07447	-1909.077104	False
44.0	8.0	0.06797	0.008602	0.06368	-1906.634097	False
44.0	12.0	0.03567	0.01418	0.1253	-1898.840332	False
44.0	16.0	0.03707482618688985	0.0485084458609083	0.1406963957299923	-1887.4323491857592	True
44.0	20.0	0.0498	0.05719	0.1408	-1878.247114	False
44.0	24.0	0.03062	0.03461	0.1365	-1872.012193	False
44.0	28.0	0.031615102929127205	0.037914763655875275	0.13581787304625753	-1870.7242331467442	True
44.0	32.0	0.02674	0.02615	0.03429	-1870.655326	False
44.0	36.0	0.03706	0.03764	0.04598	-1872.494996	False
44.0	40.0	0.03775	0.03999	0.04946	-1874.269137	False
44.0	44.0	0.04619	0.04971	0.06013	-1876.223867	False
44.0	48.0	0.05586	0.06037	0.07175	-1876.007339	False
44.0	52.0	0.04119	0.04021	0.1006	-1873.977192	False
44.0	56.0	0.04192	0.06179	0.1142	-1871.950561	False
44.0	60.0	0.06711	0.1107	0.1921	-1865.825702	False
48.0	0.0	0.0526	1.022e-06	0.0999	-1907.368128	False
48.0	4.0	0.04996	0.002751	0.06289	-1908.104097	False
48.0	8.0	0.03924	0.00549	0.05544	-1907.501334	False
48.0	12.0	0.03352	0.00808	0.08394	-1901.475893	False
48.0	16.0	0.03338	0.04787	0.08429	-1886.762354	False
48.0	20.0	0.0362	0.02977	0.1097	-1881.051181	False
48.0	24.0	0.03276	0.03652	0.147	-1873.758479	False
48.0	28.0	0.0558	0.07039	0.2275	-1872.786921	False
48.0	32.0	0.039397052310102175	0.04702617306108574	0.11605248022556006	-1871.9114427578525	True
48.0	36.0	0.02771	0.02711	0.03398	-1872.407189	False
48.0	40.0	0.03145798546228299	0.031017054327347228	0.035381442788558634	-1873.994070073361	True
48.0	44.0	0.03802	0.03968	0.04779	-1875.595441	False
48.0	48.0	0.04698	0.05023	0.05995	-1876.833293	False
48.0	52.0	0.05755	0.03907	0.1169	-1875.752417	False
48.0	56.0	0.04363	0.06429	0.1165	-1872.940685	False
48.0	60.0	0.04219	0.0647	0.1158	-1871.18153	False
52.0	0.0	0.04284	6.875e-08	0.06949	-1906.767217	False
52.0	4.0	0.05237	0.02076	0.06463	-1907.045867	False
52.0	8.0	0.03205	0.006315	0.05194	-1907.300371	False
52.0	12.0	0.0309	0.004573	0.06141	-1903.412763	False
52.0	16.0	0.02945	0.03418	0.1597	-1895.032838	False
52.0	20.0	0.03032	0.01769	0.0622	-1884.183434	False
52.0	24.0	0.0393	0.05565	0.1278	-1876.105316	False
52.0	28.0	0.05161	0.0829	0.2233	-1874.336672	False
52.0	32.0	0.03870075916495019	0.054919248835580844	0.13753070225403552	-1872.149088785681	True
52.0	36.0	0.02083	0.02015	0.02713	-1871.644516	False
52.0	40.0	0.02867	0.02791	0.03371	-1873.833336	False
52.0	44.0	0.033635737161538136	0.03200870223774671	0.05127395215973307	-1875.440201773486	True
52.0	48.0	0.03683	0.0308	0.08394	-1876.487999	False
52.0	52.0	0.04189	0.04183	0.09724	-1876.880063	False
52.0	56.0	0.04263	0.05198	0.1044	-1874.829719	False
52.0	60.0	0.03592	0.05509	0.09849	-1872.798264	False
56.0	0.0	0.06923	5.351e-07	0.05858	-1906.117253	False
56.0	4.0	0.07051	0.002094	0.0596	-1906.331334	False
56.0	8.0	0.06219	0.03446	0.07444	-1906.242732	False
56.0	12.0	0.03514	0.005231	0.05092	-1904.367045	False
56.0	16.0	0.02991	0.0005449	0.07705	-1897.373364	False
56.0	20.0	0.03315	0.02839	0.09296	-1887.11478	False
56.0	24.0	0.01675	0.01475	0.08955	-1880.278838	False
56.0	28.0	0.03338774236869829	0.052167000093248386	0.1399100744567237	-1874.5614337686532	True
56.0	32.0	0.03606886697798335	0.05383402085986437	0.1311404791579997	-1871.504530350726	True
56.0	36.0	0.01816	0.01769	0.02528	-1870.528138	False
56.0	40.0	0.02154	0.02064	0.02639	-1873.275891	False
56.0	44.0	0.02964	0.02859	0.03343	-1875.117859	False
56.0	48.0	0.03191184758473442	0.030895588208412567	0.05596233005203063	-1876.406710710164	True
56.0	52.0	0.03461	0.03511	0.07886	-1877.460301	False
56.0	56.0	0.03954	0.04496	0.0916	-1877.380832	False
56.0	60.0	0.04369	0.06865	0.1178	-1873.661998	False
60.0	0.0	0.03789	4.358e-07	0.05274	-1905.740587	False
60.0	4.0	0.02624	0.01392	0.05509	-1906.023242	False
60.0	8.0	0.03048	0.003709	0.05638	-1905.861613	False
60.0	12.0	0.06119	0.0343	0.0666	-1904.57322	False
60.0	16.0	0.04866	0.01187	0.05483	-1899.5124	False
60.0	20.0	0.04068	0.02222	0.03829	-1888.344867	False
60.0	24.0	0.01529	0.0164	0.06302	-1882.93848	False
60.0	28.0	0.02731	0.03953	0.0719	-1874.340147	False
60.0	32.0	0.04698	0.07217	0.1882	-1872.258798	False
60.0	36.0	0.03188258320345854	0.04249851494759639	0.10519587924109235	-1871.0082170292662	True
60.0	40.0	0.01814	0.01742	0.02361	-1872.114136	False
60.0	44.0	0.02195	0.02085	0.02565	-1874.543242	False
60.0	48.0	0.02884	0.02776	0.03211	-1875.937036	False
